cntry;cntry_name;iso_alpha3;m49_code
AT;Austria;40;AUT
BE;Belgium;56;BEL
BG;Bulgaria;100;BGR
CH;Switzerland;756;CHE
CY;Cyprus;196;CYP
CZ;Czechia;203;CZE
DE;Germany;276;DEU
EE;Estonia;233;EST
ES;Spain;724;ESP
FI;Finland;246;FIN
FR;France;250;FRA
GB;United Kingdom;826;GBR
HR;Croatia;191;HRV
HU;Hungary;348;HUN
IE;Ireland;372;IRL
IT;Italy;380;ITA
LT;Lithuania;440;LTU
LV;Latvia;428;LVA
ME;Montenegro;499;MNE
NL;Netherlands;528;NLD
NO;Norway;578;NOR
PL;Poland;616;POL
PT;Portugal;620;PRT
RS;Serbia;688;SRB
SE;Sweden;752;SWE
SI;Slovenia;705;SVN
SK;Slovakia;703;SVK
